Feature,Coefficient
cotton,-0.0
volleyball,-0.0
waffle,-0.0
briefs,-0.0
cutoff,-0.0
jeano,0.0
bottom,-0.0
oversized,0.0
coaches,-0.0
wrestling,-0.0
player,0.0
protection,-0.0
shrug,0.0
water-resistant,0.0
sleeveless,-0.0
parka,0.0
collage,-0.0
collegiate,0.0
lightly,-0.0
pad,0.0
issue,0.0
mock-neck,-0.0
tear-away,-0.0
firm-support,0.0
mesh-paneled,-0.0
85,0.0
commuter,0.0
elite,90.95586505576352
basketball,-0.0
distressed,0.0
bungee,-0.0
nike,-0.0
curve,0.0
mid-layer,0.0
over-oversized,-0.0
tank,-0.0
adv,38.7778504854631
racerback,-0.0
core,-0.0
mlb,3.957165422052321
court,-0.0
back,0.0
washed,-0.0
track,0.0
bodysuit,0.0
fashion,0.0
lacrosse,-0.0
up,0.0
nwsl,-0.0
dr-fit,0.0
size,-0.0
velour,-0.0
flared,0.0
engineered,-0.0
performance,-0.0
winterized,0.0
2023,-0.0
bikini,-0.0
full-zip,0.0
cable,0.0
college,-1.0428192341794256
"8""",-0.0
mantra,-0.0
tech,0.0
baseball,0.0
traditions,-0.0
cardigan,0.0
forward-lined,-0.0
high-hip,-0.0
fitness,-0.0
fadeaway,0.0
polar,-0.0
ribbed,-0.0
maternity,-0.0
mesh,-0.0
string,-0.0
max90,0.0
loose,0.0
pump-compatible,0.0
jacket,25.331321131870933
gentle-support,0.0
crossover,-0.0
mid-waisted,-0.0
cross-back,-0.0
kick,-0.0
"3""",-0.0
coat,0.0
unitard,0.0
sheer,-0.0
7/8-length,0.0
shirt,-0.0
flouncy,-0.0
v-neck,-0.0
color-blocked,-0.0
pants,0.0
cheeky,-0.0
yoga,0.0
