,Feature,Mean SHAP Value,Absolute value,Normalized Mean SHAP Value
181,n24,0.002366925920370434,0.002366925920370434,3.1151460748651933e-10
393,tear-away,0.001849954141159664,0.001849954141159664,2.4347518998871844e-10
136,slider,0.001826058022270926,0.001826058022270926,2.403301865764818e-10
265,nyc,0.0017912069579930983,0.0017912069579930983,2.3574338666206123e-10
187,reverse,0.0016624324683495702,0.0016624324683495702,2.187951863612667e-10
424,engineered,0.0015676958547100582,0.0015676958547100582,2.0632676106813547e-10
191,"10.5""",0.0014806337526989959,0.0014806337526989959,1.9486838955700563e-10
18,capri,0.001474447769231936,0.001474447769231936,1.940542431593196e-10
144,"11""",0.0013886247492358823,0.0013886247492358823,1.8275894905767988e-10
74,high-support,0.0012711056368733384,0.0012711056368733384,1.6729208554297697e-10
124,zip-front,0.0012063863858933297,0.0012063863858933297,1.5877428957296045e-10
155,flight,0.001167731776420295,0.001167731776420295,1.5368689947177278e-10
212,extended,0.0011013670194125625,0.0011013670194125625,1.4495253602918285e-10
16,balloon,0.0010272340571698647,0.0010272340571698647,1.3519578765100263e-10
143,french-terry,0.0009952671271353166,0.0009952671271353166,1.3098857289343101e-10
150,jacquard,0.0009421725848117467,0.0009421725848117467,1.2400072195595227e-10
197,taper,0.0009394911187871695,0.0009394911187871695,1.2364781026195052e-10
370,dye,0.0009348589186671304,0.0009348589186671304,1.2303815957969885e-10
25,zippered,0.0008755124682175264,0.0008755124682175264,1.1522748580304207e-10
432,"8""",0.0008600833902641225,0.0008600833902641225,1.1319684212249067e-10
104,cuff,0.0008593520453178693,0.0008593520453178693,1.1310058873665016e-10
117,legend,0.0008540347900045244,0.0008540347900045244,1.1240077693114042e-10
355,stretch,0.0008342788161681057,0.0008342788161681057,1.0980066410876583e-10
167,dna,0.0007960372338597755,0.0007960372338597755,1.0476763312122293e-10
382,protection,0.0007595158455362811,0.0007595158455362811,9.9960999398324e-11
239,bandeau,0.0006867664879623424,0.0006867664879623424,9.038634926901401e-11
409,core,0.0006404515659570788,0.0006404515659570788,8.42907741497976e-11
106,max,0.0006384428509586217,0.0006384428509586217,8.402640420948332e-11
101,cheer,0.0005101145085822905,0.0005101145085822905,6.713692200781726e-11
153,tunnel,0.00047444105536528097,0.00047444105536528097,6.244188627351501e-11
252,90,0.00046857920491674465,0.00046857920491674465,6.167039949993036e-11
358,ma1,0.0004408817236368458,0.0004408817236368458,5.8025093182982947e-11
109,low-rise,0.00041722234801040123,0.00041722234801040123,5.491124790028203e-11
389,lightly,0.00039879923237598524,0.00039879923237598524,5.248655450952493e-11
371,cotton,0.00032265744566895894,0.00032265744566895894,4.246542178406582e-11
348,ultra-high-waisted,0.0002615520398893762,0.0002615520398893762,3.4423249305025117e-11
177,high,0.000240440915865462,0.000240440915865462,3.164478316998037e-11
272,wave,0.00023865855995525362,0.00023865855995525362,3.1410204682757184e-11
70,straight,0.00021757396967700805,0.00021757396967700805,2.8635230693071103e-11
452,crossover,0.00019956373749950717,0.00019956373749950717,2.6264877502364903e-11
172,non-padded,0.00018456896067865907,0.00018456896067865907,2.4291392833709365e-11
331,mock,0.00018383773443958338,0.00018383773443958338,2.4195155071095375e-11
28,light-support,0.0001770426306979755,0.0001770426306979755,2.330084145668117e-11
9,playoff,0.0001555506003534304,0.0001555506003534304,2.047224367960265e-11
411,court,0.00011594280492957702,0.00011594280492957702,1.5259403371133247e-11
433,mantra,0.00011567765592915745,0.00011567765592915745,1.522450672055357e-11
427,2023,0.00011446113408515483,0.00011446113408515483,1.506439848840664e-11
103,tankini,0.00010520082630683552,0.00010520082630683552,1.3845635738824672e-11
50,3/4-sleeve,9.01741951484296e-05,9.01741951484296e-05,1.1867958673873301e-11
208,ribbed-panel,7.74109722585484e-05,7.74109722585484e-05,1.0188172105740216e-11
76,pair,4.179850269507564e-05,4.179850269507564e-05,5.501162519924954e-12
24,tie-back,3.224486109511732e-05,3.224486109511732e-05,4.2437936739189385e-12
282,1,2.357387295809291e-05,2.357387295809291e-05,3.1025921505511584e-12
449,pump-compatible,0.0,0.0,0.0
292,3/4,0.0,0.0,0.0
314,"knit""",0.0,0.0,0.0
318,2-button,0.0,0.0,0.0
327,"""tuff",0.0,0.0,0.0
287,jumpsuit,0.0,0.0,0.0
396,85,0.0,0.0,0.0
285,t-back,0.0,0.0,0.0
390,pad,0.0,0.0,0.0
264,marina,0.0,0.0,0.0
260,hike,0.0,0.0,0.0
381,player,0.0,0.0,0.0
420,dr-fit,0.0,0.0,0.0
418,up,0.0,0.0,0.0
329,pregame,0.0,0.0,0.0
343,365,0.0,0.0,0.0
388,collegiate,0.0,0.0,0.0
397,commuter,0.0,0.0,0.0
328,heritage,0.0,0.0,0.0
467,yoga,0.0,0.0,0.0
137,and,0.0,0.0,0.0
45,overalls,0.0,0.0,0.0
27,down,0.0,0.0,0.0
185,work,0.0,0.0,0.0
116,wearable,0.0,0.0,0.0
122,square,0.0,0.0,0.0
123,square-neck,0.0,0.0,0.0
102,defensive,0.0,0.0,0.0
23,rain,0.0,0.0,0.0
49,wordmark,0.0,0.0,0.0
142,midweight,0.0,0.0,0.0
56,parade,0.0,0.0,0.0
11,color-block,-1.181903372702517e-05,1.181903372702517e-05,-1.5555204413697755e-12
154,air,-1.5893792806194523e-05,1.5893792806194523e-05,-2.0918054869747997e-12
44,5-pocket,-3.006496386034847e-05,3.006496386034847e-05,-3.956894187287059e-12
97,light,-3.645358668464311e-05,3.645358668464311e-05,-4.7977102493200005e-12
312,year,-3.915543983981487e-05,3.915543983981487e-05,-5.153305123614934e-12
92,rookie,-4.977572975318631e-05,4.977572975318631e-05,-6.5510571256037285e-12
294,the,-6.39981344574919e-05,6.39981344574919e-05,-8.422888762093134e-12
218,"2""",-6.802441750306062e-05,6.802441750306062e-05,-8.952793805497988e-12
224,of,-8.350719762497099e-05,8.350719762497099e-05,-1.099050530756399e-11
184,muscle,-9.076213264488653e-05,9.076213264488653e-05,-1.19453379939691e-11
195,2024,-9.74936142148399e-05,9.74936142148399e-05,-1.2831278200639608e-11
126,warm,-0.00010090121745984066,0.00010090121745984066,-1.3279757884013083e-11
169,9\94,-0.00013232258400584334,0.00013232258400584334,-1.7415170227098233e-11
194,scoop-neck,-0.00017257316782542045,0.00017257316782542045,-2.2712608863325793e-11
438,forward-lined,-0.00017668755351337305,0.00017668755351337305,-2.3254109225293232e-11
387,collage,-0.00020456434723923266,0.00020456434723923266,-2.6923015117428096e-11
81,belted,-0.00020769212830679695,0.00020769212830679695,-2.7334666991777237e-11
439,high-hip,-0.00020784039155966294,0.00020784039155966294,-2.735418013691783e-11
210,modal,-0.0002143116795753055,0.0002143116795753055,-2.8205875886571717e-11
115,asymmetrical,-0.0003165526652999046,0.0003165526652999046,-4.16619626457419e-11
441,fadeaway,-0.0003570122290032874,0.0003570122290032874,-4.6986905432359656e-11
111,ignite,-0.00037004458413935205,0.00037004458413935205,-4.8702112891915775e-11
344,poole,-0.0003750197349972757,0.0003750197349972757,-4.9356899826037376e-11
180,keyhole,-0.00041635583164993206,0.00041635583164993206,-5.479720440547339e-11
278,authentic,-0.0004997354267130453,0.0004997354267130453,-6.577091575187903e-11
69,brief,-0.0005004677977671662,0.0005004677977671662,-6.586730418528774e-11
460,7/8-length,-0.0005146834865430728,0.0005146834865430728,-6.773825192854622e-11
289,hiking,-0.0005744463331587325,0.0005744463331587325,-7.560372821807903e-11
324,twist,-0.0005913572573790014,0.0005913572573790014,-7.782939986896317e-11
84,waxed,-0.0005971494444132149,0.0005971494444132149,-7.859171813795621e-11
222,one,-0.0006199283632627861,0.0006199283632627861,-8.158968520710761e-11
453,mid-waisted,-0.000691283663601647,0.000691283663601647,-9.098086140989479e-11
57,retro,-0.0008211992123025581,0.0008211992123025581,-1.0807923817431261e-10
430,cable,-0.0008488216694118784,0.0008488216694118784,-1.1171467044963978e-10
248,p44,-0.0010648067160553285,0.0010648067160553285,-1.4014078064136134e-10
464,color-blocked,-0.0010915269604542136,0.0010915269604542136,-1.4365747137267068e-10
105,strappy,-0.0011309456918640575,0.0011309456918640575,-1.4884542868771512e-10
313,nursing,-0.0013884749210789043,0.0013884749210789043,-1.827392299532036e-10
214,henley,-0.001470323739269863,0.001470323739269863,-1.9351147350022662e-10
311,"5""",-0.001482083712938228,0.001482083712938228,-1.9505922096026507e-10
78,ringer,-0.0015132963744946676,0.0015132963744946676,-1.991671653321963e-10
306,cozy,-0.001653449594640146,0.001653449594640146,-2.176129371182256e-10
403,curve,-0.001729683540812512,0.001729683540812512,-2.276461990866933e-10
35,m90,-0.0017688579491797172,0.0017688579491797172,-2.3280200068614374e-10
280,el,-0.001960852396412884,0.001960852396412884,-2.5807067274499334e-10
2,bomber,-0.0021889763822558906,0.0021889763822558906,-2.880944066086297e-10
237,breakaway,-0.002262776035633492,0.002262776035633492,-2.9780728771602265e-10
175,insulated,-0.002404286110488327,0.002404286110488327,-3.1643163714935547e-10
71,leg,-0.0025719012752951262,0.0025719012752951262,-3.3849171593095355e-10
367,skate,-0.0025777292602183768,0.0025777292602183768,-3.392587456128625e-10
19,adjustable,-0.002603579859127487,0.002603579859127487,-3.426609810200452e-10
281,sling,-0.002740087196131366,0.002740087196131366,-3.6062691275446053e-10
342,fatigue,-0.003011349045472711,0.003011349045472711,-3.9632808438657125e-10
232,water-repellent,-0.0030917456995343253,0.0030917456995343253,-4.0690920647311026e-10
256,convertible,-0.0033504647014477858,0.0033504647014477858,-4.4095959547631247e-10
276,tearaway,-0.004155198894134182,0.004155198894134182,-5.468718481616227e-10
325,puffer,-0.004233024899896607,0.004233024899896607,-5.57114643438262e-10
249,girlfriend,-0.004251425072846758,0.004251425072846758,-5.595363173085422e-10
95,2-in-1,-0.004366414699027401,0.004366414699027401,-5.746702714202444e-10
225,board,-0.004495880448093928,0.004495880448093928,-5.917094493921074e-10
112,longline,-0.004759607062427558,0.004759607062427558,-6.264188976434628e-10
87,tailored,-0.004927617962048522,0.004927617962048522,-6.48531059666975e-10
89,fleece-lined,-0.004996868560408803,0.004996868560408803,-6.576452329415798e-10
147,atmosphere,-0.0061568286940588985,0.0061568286940588985,-8.103092950586857e-10
227,unlined,-0.00780798009133915,0.00780798009133915,-1.0276197630365242e-09
96,halo,-0.007895061415066839,0.007895061415066839,-1.039080664346098e-09
206,wool,-0.00916176624780546,0.00916176624780546,-1.205793553573359e-09
416,fashion,-0.009599232091444684,0.009599232091444684,-1.2633690777573622e-09
26,volley,-0.011722138581135303,0.011722138581135303,-1.5427679284670872e-09
86,hockey,-0.011910767444274507,0.011910767444274507,-1.5675936510449368e-09
46,destroyer,-0.01527116718057699,0.01527116718057699,-2.0098608110954043e-09
360,camp,-0.026560709202553635,0.026560709202553635,-3.4956940690827168e-09
447,max90,-0.04065143854275084,0.04065143854275084,-5.3501957169092545e-09
326,replica,-0.05508378906855321,0.05508378906855321,-7.249658632271456e-09
145,breathe,-0.05707330168168602,0.05707330168168602,-7.511501318363022e-09
266,swingman,-0.08411467971166103,0.08411467971166103,-1.1070456919974709e-08
366,cooperstown,-0.09072900119244176,0.09072900119244176,-1.1940977514701471e-08
114,turtleneck,-0.17048653369553912,0.17048653369553912,-2.2437983871329326e-08
192,game,-0.31712779673616814,0.31712779673616814,-4.1737656541388946e-08
127,utility,-0.3845408873879617,0.3845408873879617,-5.0609992719345886e-08
209,limited,-0.7313971673793059,0.7313971673793059,-9.626025873985042e-08
168,mod,-0.8993291630775038,0.8993291630775038,-1.1836203610184099e-07
398,elite,-1.0159419014526783,1.0159419014526783,-1.337096104007381e-07
156,panel,-1.1000994746376254,1.1000994746376254,-1.447857125939254e-07
291,midi,-2.0455610512760094,2.0455610512760094,-2.692193036097344e-07
454,cross-back,-3.6046484528632803,3.6046484528632803,-4.744130934798564e-07
336,varsity,-4.548911939066599,4.548911939066599,-5.986890020484031e-07
352,neck,-5.309422755961936,5.309422755961936,-6.987809510931478e-07
298,field,-33.33773283688605,33.33773283688605,-4.38762813394163e-06
135,bottoms,-38.476210161606275,38.476210161606275,-5.0639107049813205e-06
412,back,-43.333748698759976,43.333748698759976,-5.7032185082924e-06
66,open,-76.48709189824902,76.48709189824902,-1.006657885040161e-05
308,cami,-144.63730767115604,144.63730767115604,-1.9035929151528134e-05
171,print,-160.7999646782025,160.7999646782025,-2.1163120252084986e-05
51,shorts,-212.55915615751465,212.55915615751465,-2.797522369762674e-05
179,undershirt,-238.09144614926936,238.09144614926936,-3.133556599924329e-05
466,cheeky,-295.0315295118592,295.0315295118592,-3.882953425836432e-05
279,weightlifting,-1001.5721661139463,1001.5721661139463,-0.00013181838836239491
163,nfl,-4022.064528364289,4022.064528364289,-0.000529349838140589
462,flouncy,-4295.57055250196,4295.57055250196,-0.000565346368923906
365,womens,-4424.25098950986,4424.25098950986,-0.0005822821908187611
417,lacrosse,-4654.4011195494695,4654.4011195494695,-0.0006125725885051575
235,hoodie,-4742.879667589693,4742.879667589693,-0.0006242173805649841
93,crew-neck,-4872.433343512631,4872.433343512631,-0.0006412681307199588
110,plus,-6256.72523331637,6256.72523331637,-0.0008234568257643287
376,jeano,-7868.24163085229,7868.24163085229,-0.0010355508730330008
91,fit,-9998.217428716072,9998.217428716072,-0.0013158801258063527
40,scoop-back,-10084.289601607827,10084.289601607827,-0.0013272082112876634
31,hyper,-10580.574706364345,10580.574706364345,-0.0013925250250836092
238,button-up,-11501.377135938237,11501.377135938237,-0.0015137131894248288
176,rashguard,-11974.49260480828,11974.49260480828,-0.0015759806133067665
80,mini-rib,-12087.257993745572,12087.257993745572,-0.001590821832277983
436,traditions,-16447.732860953816,16447.732860953816,-0.0021647103536815682
33,pockets,-17619.96702740306,17619.96702740306,-0.00231898981933826
219,sweatshirt,-18400.407839224546,18400.407839224546,-0.0024217047843773775
354,heroes,-19403.6875998411,19403.6875998411,-0.002553747911767998
465,pants,-21213.233258695305,21213.233258695305,-0.002791904881868136
323,jersey,-25292.80797098224,25292.80797098224,-0.0033288237200424634
47,open-hem,-25978.48069252198,25978.48069252198,-0.0034190661171011917
58,zip,-28541.05481555794,28541.05481555794,-0.00375633027278196
273,therma,-29237.27529707157,29237.27529707157,-0.0038479608760704867
283,lined,-33652.170625682375,33652.170625682375,-0.004429011754574965
1,oxford,-34116.79643510385,34116.79643510385,-0.004490161841869369
164,&,-36282.81706905411,36282.81706905411,-0.0047752350086236175
64,zip-off,-38900.263474479485,38900.263474479485,-0.00511972098623101
231,hybrid,-40313.017636742225,40313.017636742225,-0.005305655642886149
20,logo,-40519.863599260374,40519.863599260374,-0.005332878944751857
316,3/4-length,-42266.15739950548,42266.15739950548,-0.005562711244553769
400,distressed,-42827.782066999294,42827.782066999294,-0.005636627494463991
199,short,-45170.816179221096,45170.816179221096,-0.00594499766588113
245,jordan,-47094.24265913208,47094.24265913208,-0.006198142658617055
205,nba,-47897.042955897676,47897.042955897676,-0.006303800388411091
8,seersucker,-49324.14084401195,49324.14084401195,-0.006491622843957643
183,fitted,-56906.60850744206,56906.60850744206,-0.007489562584117735
301,heavyweight,-57045.350370113636,57045.350370113636,-0.007507822605067322
128,poolside,-58352.05495870388,58352.05495870388,-0.007679799921092411
12,jogger,-64548.70771546528,64548.70771546528,-0.008495350519714728
288,tunic,-66308.06217082907,66308.06217082907,-0.008726901751578604
90,half-zip,-70514.1255074518,70514.1255074518,-0.009280467943952892
437,cardigan,-73308.98820427591,73308.98820427591,-0.009648303941052294
268,brushed-back,-76521.83100017936,76521.83100017936,-0.010071150914786527
434,tech,-79483.7139114546,79483.7139114546,-0.010460968688374699
410,mlb,-80090.32446176307,80090.32446176307,-0.010540805596598235
213,standard,-81316.6250172044,81316.6250172044,-0.010702200819364235
408,racerback,-90584.65607684372,90584.65607684372,-0.011921980041379163
346,french,-92069.51743143919,92069.51743143919,-0.012117404831850136
303,swimsuit,-92652.33541906651,92652.33541906651,-0.012194110365846483
157,suit,-93644.34946302652,93644.34946302652,-0.012324670795670562
435,baseball,-94923.02321575048,94923.02321575048,-0.012492958932090471
364,singlet,-96744.83841640552,96744.83841640552,-0.01273273071466329
98,high-rise,-99156.74211623496,99156.74211623496,-0.01305016491396855
386,parka,-113364.61596535574,113364.61596535574,-0.014920084123199296
65,military,-113521.68532575185,113521.68532575185,-0.014940756253125652
140,pocket,-116475.16368834997,116475.16368834997,-0.015329467891680309
42,with,-119236.33310922618,119236.33310922618,-0.01569286946709312
198,pullover,-123915.05678840155,123915.05678840155,-0.01630864318350419
271,long-sleeve,-125389.85312322651,125389.85312322651,-0.016502743301894735
263,full-length,-129148.56921395875,129148.56921395875,-0.016997433464176818
174,repel,-130504.06645521286,130504.06645521286,-0.017175832453103456
53,infinalon,-142139.6406637478,142139.6406637478,-0.01870720751696044
458,unitard,-149349.89864820355,149349.89864820355,-0.019656160192907626
34,hooded,-153953.87498116173,153953.87498116173,-0.020262096300960486
221,club,-158218.17652467772,158218.17652467772,-0.020823327309544244
61,slim,-161082.76219770013,161082.76219770013,-0.02120033965026145
392,mock-neck,-166412.03006093096,166412.03006093096,-0.02190173244515934
461,shirt,-173915.41958031867,173915.41958031867,-0.02288926459427903
85,tees,-177253.54067285627,177253.54067285627,-0.02332859962920128
141,anorak,-182778.4610553112,182778.4610553112,-0.02405574254040205
295,brief-lined,-184892.22841813226,184892.22841813226,-0.024333938577160128
357,padded,-188112.3956580383,188112.3956580383,-0.02475774953176038
134,fairway,-189304.45824287113,189304.45824287113,-0.02491463864477303
391,issue,-192472.93520033188,192472.93520033188,-0.02533164656514723
307,boxer,-199750.20443503596,199750.20443503596,-0.026289418690464857
215,football,-221096.2628770023,221096.2628770023,-0.029098804890389844
83,crewneck,-240472.918203461,240472.918203461,-0.03164899504483231
257,reversible,-241034.06022725225,241034.06022725225,-0.031722847773293775
368,trousers,-257216.7020443404,257216.7020443404,-0.03385266910414311
309,layer,-270589.3509186883,270589.3509186883,-0.035612663123937176
38,computational,-274289.1055938605,274289.1055938605,-0.03609959328745168
113,7/8,-276152.2924087114,276152.2924087114,-0.03634481004912012
361,dri-fit,-309892.5002472861,309892.5002472861,-0.040785408510985895
404,mid-layer,-331914.54485353193,331914.54485353193,-0.043683762245897734
186,skort,-334336.5049646873,334336.5049646873,-0.04400251998431334
261,holiday,-340771.59234051674,340771.59234051674,-0.04484945131442833
118,therma-fit,-350388.0421125306,350388.0421125306,-0.04611508643649159
258,tracksuit,-363262.239563198,363262.239563198,-0.047809478530064564
269,printed,-366362.39955802134,366362.39955802134,-0.04821749515433714
448,loose,-369190.44579073606,369190.44579073606,-0.04858969848548321
55,storm-fit,-374260.40551238577,374260.40551238577,-0.04925696335383828
0,tee,-386451.9927410073,386451.9927410073,-0.050861516110422784
75,hat,-422709.86830027396,422709.86830027396,-0.05563346853019785
450,jacket,-433827.42902215297,433827.42902215297,-0.057096667075905466
178,mid-rise,-441456.74185309716,441456.74185309716,-0.05810077217757738
440,fitness,-443468.82007594267,443468.82007594267,-0.058365584756808336
233,golf,-449937.244999316,449937.244999316,-0.05921690369067058
407,adv,-482541.5972254503,482541.5972254503,-0.06350801052196797
262,high-waisted,-517904.38927315164,517904.38927315164,-0.06816215968209167
275,funnel-neck,-548386.82915704,548386.82915704,-0.07217399850388918
193,trench,-555036.8486909876,555036.8486909876,-0.0730492173719859
41,gymnastics,-589994.7359184718,589994.7359184718,-0.07765007641218917
129,shacket,-595821.7504694633,595821.7504694633,-0.07841697838197548
162,layered,-620158.7760311131,620158.7760311131,-0.08162001017100595
457,coat,-627953.7748014493,627953.7748014493,-0.08264592144326036
190,knit,-639228.9596456618,639228.9596456618,-0.08412986513193021
317,1/2-zip,-663715.2671624054,663715.2671624054,-0.08735254413900233
399,basketball,-675987.8625208725,675987.8625208725,-0.08896775849490215
132,rugby,-709368.4222278261,709368.4222278261,-0.09336102313630866
220,versatile,-723635.3537590376,723635.3537590376,-0.09523871501408691
378,oversized,-739953.5447593376,739953.5447593376,-0.09738637617263848
189,joggers,-763027.5419669818,763027.5419669818,-0.10042317893922419
