title,image_url,gender
Everyday Seamless Long Sleeve Crop Top,https://cdn.shopify.com/s/files/1/0156/6146/files/EverydaySeamlessLongSleeveCropTopGSNavyB7A2S-UB9P-0876_3840x.jpg?v=1690799792,0
Legacy Regular Leggings,https://cdn.shopify.com/s/files/1/0156/6146/files/LegacyLogoLeggingsGSBlackB7A4E-BB2J-0017_add3361e-e2e4-4d39-8ad3-cb5bf2932c62_3840x.jpg?v=1721396321,0
Lifting Essentials Oversized Joggers,https://cdn.shopify.com/s/files/1/0156/6146/files/GFXLIFTINGESSENTIALSGOTHICBRUSHEDOVERSIZEDJOGGERGSBlackB2B3I-BB2J9876_3840x.jpg?v=1730373854,0
Multi Way Strap Bandeau Bra,https://cdn.shopify.com/s/files/1/0156/6146/files/MultiWayStrapBandeauBraGSBlackB1B8J-BB2J18314_1057f9f6-8e3e-4ab4-9b6e-94acfd1cb57d_3840x.jpg?v=1722602732,0
Ruched Sports Bra,https://cdn.shopify.com/s/files/1/0156/6146/files/RuchedSportsBraWhiteB2A7A-WBBM-0016_3840x.jpg?v=1714127926,0
"Sport 7"" Shorts",https://cdn.shopify.com/s/files/1/0156/6146/files/Sport7ShortGSBlackA1B3L-BB2J2_f264f224-ea04-411c-9238-7374e8177c83_3840x.jpg?v=1722948235,1
Ruched Strappy Sports Bra,https://cdn.shopify.com/s/files/1/0156/6146/files/RuchedStrappySportsBraGSBlackB6A6I-BB2J-0200_c0fa8cb5-22b7-497c-bf74-4fa006dfb413_3840x.jpg?v=1729082432,0
Strength Department Oversized Hoodie,https://cdn.shopify.com/s/files/1/0156/6146/files/StrengthDepartmentOversizedHoodieGSBlackB1C8Z-BB2J_4b589b20-6d9f-4682-b5c6-ae6a5213f59a_3840x.jpg?v=1722504835,0
Training Leggings,https://cdn.shopify.com/s/files/1/0156/6146/files/TrainingLeggingsBlackB2A8F-BBBB-1066_0bcbedbe-5e69-4d65-b624-307f21fd8a85_3840x.jpg?v=1721396320,0
React Drop Arm Tank,https://cdn.shopify.com/s/files/1/0156/6146/files/ReactDropArmTankBlackA2A8O-BBBB-0643_ba36ab1e-0839-458c-8980-e2dfe4412b01_3840x.jpg?v=1722505073,1
Arrival Long Sleeve T-Shirt,https://cdn.shopify.com/s/files/1/0156/6146/files/ArrivalLongSleeveT-Shirt-GSBlack-A2A1H-BBBB1_3840x.jpg?v=1727788400,1
Everyday Seamless Sports Bra,https://cdn.shopify.com/s/files/1/0156/6146/files/EverydaySeamlessSportsBraGSBlackB8A4T-BB2J0631_9922bc0a-205a-4aaa-bd38-ef817c9c23e0_3840x.jpg?v=1710775069,0
"Arrival 5"" Shorts",https://cdn.shopify.com/s/files/1/0156/6146/products/ArrivalSlim5Short-SilhouetteGreyA2A1M-GBP4_3840x.jpg?v=1660034608,1
