Product Name,Price
Always Effortless Jacket,148.0
Sculpt Short-Sleeve Shirt,68.0
All Yours Long-Sleeve Shirt,68.0
"lululemon Align\'99 High-Neck Cami Tank Top \
Light Support, A/B Cup",78.0
Lightweight Training Short-Sleeve Shirt,58.0
"Relaxed-Fit Mesh Training Short 8""",88.0
"Varsity High-Rise Pleated Tennis Skirt \
Tipping Stripe",98.0
"Wunder Train High-Rise Crop 21""",88.0
"Define Jacket \
Diamond Nulu",128.0
Hold Tight Thin Strap Racerback Tank Top,48.0
lululemon Align\'99 High-Rise Skirt,78.0
Hold Tight Short-Sleeve Shirt,58.0
Mist Over Windbreaker,128.0
"Adapted State High-Rise Jogger \
Colourblock",138.0
"InvisiWear Mid-Rise Bikini Underwear \
5 Pack",74.0
"InvisiWear Mid-Rise Bikini Underwear \
3 Pack",48.0
"Wunder Train High-Rise Ribbed Crop 23""",118.0
"Run Times Bra \
High Support, B\'96G Cups",68.0
"Perfectly Oversized Cropped Crew \
Stripe",118.0
"License to Train Triangle Bra Light Support, A/B Cup \
Logo",48.0
"Perfectly Oversized Fleece Crew \
Graphic",118.0
"Wunder Train High-Rise Tight with Pockets 28""",128.0
"InvisiWear Mid-Rise Thong Underwear \
3 Pack",48.0
Full Flourish Pullover,128.0
"lululemon Align\'99 Corset Tank Top \
Light Support, A/B Cup",78.0
"InvisiWear Mid-Rise Thong Underwear  Performance Lace \
3 Pack",54.0
Beyondfeel Women's Running Shoe,158.0
"Fast and Free High-Rise Tight 25\'94 Pockets \
Updated",128.0
Organic Cotton Crewneck Tank Top,38.0
"lululemon Align\'99 High-Rise Ribbed Mini-Flare Pant \
Regular",128.0
"Soft Jersey Straight-Leg Mid-Rise Pant \
Short",98.0
"Relaxed-Fit Cotton Jersey T-Shirt \
Graphic",68.0
"Like a Cloud Longline Ribbed Bra \
Light Support, D/DD Cups",68.0
Abrasion-Resistant High-Coverage Long-Sleeve Shirt,88.0
"Wundermost Ultra-Soft Nulu Mid-Rise Bikini Underwear \
3 Pack",68.0
"Ultralu Square-Neck Workout Bra \
Medium Support, B/C Cup",68.0
"InvisiWear Mid-Rise Bikini Underwear Performance Lace \
3 Pack",54.0
"Scuba Mid-Rise Oversized Short 7""",78.0
"Wunder Train Contour Fit High-Rise Tight with Pockets 25""",128.0
